,model_run,model_error,timestep,runtime_yr,computational_time,ET,K_d,K_n,P,S,S_init,St,T,U,average_rch,day,downstream_length,dt,dx,final_topography_file,fixed_upstream_length,hour,infiltration_capacity,init_z,initial_relief,initial_topography_file,k_f,k_w,kyr,m,max_dt,max_rel_dz,min_abs_dz,min_rel_dz,n,n_initial_topo_segments,omega,phi,precip_return_time,precipitation_duration,recalculate_slope,relief_input_file,save_final_topography,save_initial_topography,specific_yield,total_runtime,upstream_aspect_ratio,upstream_length,use_relief_from_file,variable_dt,width,year,time_yr,n_streams,stream_density_str_per_km,erosion_rate_m_per_yr,incision_rate_m_per_yr,avg_watertable_depth_m,ratio_overland_flow_baseflow,ratio_overland_and_baseflow_erosion
10,,,,,,1.1883032930260856e-08,1.267523512561158e-09,25.0,2.3766065860521712e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,7.083492143685184e-06,0.00027642345312352094,2.5306340954368474,0.002680861638430652,5.0201768722848646e-06
11,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,7.922021953507237e-09,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,45.0,2.25,5.834241432855258e-08,4.694653333269201e-06,0.2904300045374348,2054105.3707343044,112738479.81500843
12,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,1.232314526101126e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,38.0,1.9,5.2814781567494e-08,5.453854865381459e-06,0.2983945200959895,1782541.364373575,73450742.53903402
13,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,1.672426856851528e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,7.0,0.35,2.2661095215223126e-06,0.0002913435387430388,2.705299873378243,0.0015573624759024063,2.097467190506942e-06
14,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.1125391876019303e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,11.0,0.55,3.6987949048197875e-06,0.00031090633814207343,2.8395240660896666,0.001392199369325517,1.3124388482478245e-06
15,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.5526515183523322e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,12.0,0.6,4.2556589826806116e-06,0.0003136136973591453,2.9096109270095947,0.0011518976117802955,7.288785056693511e-07
16,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.992763849102734e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,13.0,0.65,4.786772343024207e-06,0.00032260065359918403,2.9256710511586634,0.001059691576880069,5.429054597321543e-07
17,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,3.4328761798531367e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,15.0,0.75,5.528036665225871e-06,0.0003203245265184932,2.965719621759391,0.0010986797550014945,5.082841638587324e-07
18,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,3.8729885106035386e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,16.0,0.8,6.156827856436386e-06,0.0003263097012283519,2.958642487535964,0.001062741064120008,4.1280700041744433e-07
19,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,4.3131008413539405e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,17.0,0.85,6.535935062128743e-06,0.0003303248184806753,2.9659048414818416,0.001049661258529659,3.5442604955520833e-07
20,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,4.7532131721043424e-08,0.0004,0.0004,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,18.0,0.9,7.008696268514364e-06,0.0003346300908285568,2.972691132582329,0.0010429060462229074,3.0964355265502914e-07
21,,,,,,1.1883032930260856e-08,3.168808781402895e-10,25.0,2.3766065860521712e-08,0.0004,0.0001,0.002,0.01,-6.33761756280579e-13,False,86400.0,10000.0,31557600.0,5.0,saved_final_topography.csv,True,3600.0,0.0001,0.0,0.5,saved_initial_topography.csv,1258.9254117941675,3.65,31557600000.0,1.8,31557600000.0,0.005,0.001,0.001,2.1,200,0.5,0.2,31557600.0,10800.0,True,saved_topographies/default_topography_esurf_paper_revision.csv,False,False,0.2,315576000000.0,1.0,10000.0,True,True,20000,31557600.0,10042.609964181114,21.0,1.05,9.26690652576263e-07,4.832416391553154e-05,0.5043138933023845,0.012025891356243296,6.148987640378833e-05
